Freq	Amp
0.000000	0.000000
0.049996	294.636677
0.099992	612.693170
0.149987	920.054508
0.199983	1212.096790
0.249979	1492.646811
0.299975	1768.167823
0.349970	2046.125586
0.399966	2334.164309
0.449962	2639.377721
0.499958	2967.745344
0.549953	3323.340656
0.599949	3707.320489
0.649945	4117.201281
0.699941	4546.920158
0.749936	4988.580868
0.799932	5434.803742
0.849928	5876.910639
0.899924	6290.548228
0.949919	6616.778505
0.999915	6784.765650
1.049911	6784.146180
1.099907	6672.546878
1.149902	6500.424594
1.199898	6265.817316
1.249894	5926.456925
1.299890	5452.710894
1.349885	4901.119556
1.399881	4411.803020
1.449877	4085.630713
1.499873	3911.895288
1.549869	3826.699433
1.599864	3782.381913
1.649860	3770.565190
1.699856	3818.089191
1.749852	3960.758930
1.799847	4205.122614
1.849843	4527.716744
1.899839	4910.848280
1.949835	5358.543752
1.999830	5881.855186
2.049826	6466.313814
2.099822	7046.210902
2.149818	7561.926680
2.199813	8089.173728
2.249809	8816.851739
2.299805	9848.983695
2.349801	11101.883920
2.399796	12424.804015
2.449792	13830.531958
2.499788	15416.498880
2.549784	16987.850101
2.599779	18106.849368
2.649775	18231.576664
2.699771	16814.326149
2.749767	14171.083273
2.799762	11929.491350
2.849758	11993.858385
2.899754	14444.071793
2.949750	17597.876128
2.999746	21107.808753
3.049741	25812.566485
3.099737	30898.325683
3.149733	35009.592417
3.199729	39404.567041
3.249724	45218.095882
3.299720	51510.489216
3.349716	56960.495927
3.399712	60106.091792
3.449707	58369.834308
3.499703	52217.907072
3.549699	46858.557087
3.599695	43670.392167
3.649690	41644.944208
3.699686	40300.330749
3.749682	38452.494838
3.799678	35499.556486
3.849673	32648.671811
3.899669	32363.042939
3.949665	34884.659076
3.999661	37544.172114
4.049656	39914.732061
4.099652	42220.588102
4.149648	44027.871030
4.199644	45781.817287
4.249639	47949.751878
4.299635	49393.374240
4.349631	48352.531144
4.399627	45514.623065
4.449622	43924.696956
4.499618	43883.164273
4.549614	45089.363161
4.599610	47022.044927
4.649606	47579.341471
4.699601	46090.529421
4.749597	43487.878333
4.799593	39739.375207
4.849589	36088.657876
4.899584	32614.193984
4.949580	28301.872517
4.999576	24741.242727
5.049572	22920.478417
5.099567	22108.052784
5.149563	21742.566610
5.199559	21957.474715
5.249555	22989.115457
5.299550	24878.717252
5.349546	27505.402814
5.399542	29993.008292
5.449538	31517.615685
5.499533	32258.451480
5.549529	34050.769404
5.599525	37478.369838
5.649521	42004.834914
5.699516	47848.214197
5.749512	55285.644625
5.799508	64304.652895
5.849504	72950.541313
5.899499	76808.006439
5.949495	72841.792220
5.999491	64555.511353
6.049487	56172.552403
6.099483	49653.774427
6.149478	45455.685108
6.199474	42482.197153
6.249470	39888.685292
6.299466	38239.208293
6.349461	38250.598693
6.399457	38530.564339
6.449453	38097.088303
6.499449	36732.152175
6.549444	35902.263022
6.599440	42278.697393
6.649436	48985.498646
6.699432	55564.340885
6.749427	63022.500714
6.799423	72361.403289
6.849419	85084.618857
6.899415	102775.955488
6.949410	128249.744642
6.999406	164975.876091
7.049402	202887.894683
7.099398	205595.142168
7.149393	190142.523257
7.199389	170127.593085
7.249385	148560.433081
7.299381	131930.697332
7.349376	121625.263444
7.399372	116614.812792
7.449368	115456.343352
7.499364	118208.072702
7.549360	124313.734799
7.599355	132218.097794
7.649351	141512.056672
7.699347	152417.035047
7.749343	165552.903536
7.799338	180395.267569
7.849334	194430.198506
7.899330	202180.309347
7.949326	195186.625172
7.999321	173727.476539
8.049317	148131.127351
8.099313	129443.812107
8.149309	118385.629408
8.199304	109273.058126
8.249300	99571.757827
8.299296	89887.923126
8.349292	79551.588922
8.399287	68296.430951
8.449283	61538.752780
8.499279	61005.208955
8.549275	61944.965221
8.599270	61394.347656
8.649266	59364.165400
8.699262	57378.407968
8.749258	56963.157404
8.799253	57830.603102
8.849249	59873.599427
8.899245	62552.587316
8.949241	65280.177186
8.999237	68106.810685
9.049232	71714.679428
9.099228	77236.190621
9.149224	86851.690161
9.199220	97659.407500
9.249215	103832.645227
9.299211	107962.362915
9.349207	111957.194726
9.399203	114669.894664
9.449198	114969.509173
9.499194	111527.165104
9.549190	105160.134052
9.599186	99573.186394
9.649181	98445.179161
9.699177	100059.082700
9.749173	101692.033006
9.799169	100469.516123
9.849164	99379.686750
9.899160	107128.480777
9.949156	116855.169045
9.999152	128106.460966
10.049147	140566.087207
10.099143	153448.295172
10.149139	167190.954303
10.199135	178231.000421
10.249130	177878.362798
10.299126	192870.754162
10.349122	205840.957544
10.399118	205725.153760
10.449113	197655.813777
10.499109	189024.825902
10.549105	184944.949005
10.599101	187502.191612
10.649097	197198.191988
10.699092	212141.901568
10.749088	230875.727962
10.799084	258799.464946
10.849080	309336.330780
10.899075	397787.780695
10.949071	486050.456627
10.999067	450633.455919
11.049063	346881.488654
11.099058	268237.428126
11.149054	217744.501928
11.199050	183873.039907
11.249046	158413.520004
11.299041	138877.980205
11.349037	124203.662701
11.399033	112738.976992
11.449029	103610.016746
11.499024	96084.625107
11.549020	89907.736348
11.599016	85476.073182
11.649012	80938.758134
11.699007	77820.147974
11.749003	81122.795654
11.798999	89260.731964
11.848995	100470.023020
11.898990	116166.084410
11.948986	133140.491817
11.998982	160520.977969
12.048978	205407.693951
12.098974	260517.088204
12.148969	280765.447699
12.198965	239016.775657
12.248961	186803.895014
12.298957	149203.770422
12.348952	124789.252748
12.398948	108700.696288
12.448944	98930.210829
12.498940	94111.082590
12.548935	91226.198659
12.598931	85380.185860
12.648927	72913.070475
12.698923	56101.514578
12.748918	43107.075646
12.798914	41442.265978
12.848910	46907.664790
12.898906	51717.064660
12.948901	55014.604793
12.998897	58551.337368
13.048893	62686.171433
13.098889	67186.512099
13.148884	71802.881384
13.198880	75384.456011
13.248876	78027.924718
13.298872	82095.489045
13.348867	88438.314269
13.398863	97563.382706
13.448859	110960.702889
13.498855	132147.715706
13.548851	167365.176697
13.598846	235679.165857
13.648842	353192.590523
13.698838	476572.623435
13.748834	463548.202716
13.798829	368853.591338
13.848825	297353.974454
13.898821	257119.948808
13.948817	240236.770995
13.998812	240183.845392
14.048808	248082.252826
14.098804	246988.021391
14.148800	235267.615759
14.198795	219897.261863
14.248791	200455.543798
14.298787	183876.028453
14.348783	178426.228080
14.398778	199375.526530
14.448774	248583.676300
14.498770	331823.045480
14.548766	466250.454505
14.598761	616443.218813
14.648757	607472.531939
14.698753	492006.301587
14.748749	400164.133101
14.798744	335298.320033
14.848740	292199.899372
14.898736	262192.691826
14.948732	234274.089974
14.998728	205277.063134
15.048723	180991.113568
15.098719	162150.422148
15.148715	144130.280700
15.198711	136069.997363
15.248706	139779.547748
15.298702	149667.973056
15.348698	160836.081209
15.398694	174248.700715
15.448689	188330.071658
15.498685	202205.740766
15.548681	215883.373888
15.598677	216913.037357
15.648672	210750.562478
15.698668	206182.879163
15.748664	200619.991986
15.798660	196003.340233
15.848655	191594.839212
15.898651	184687.206245
15.948647	175655.498555
15.998643	167740.967994
16.048638	163371.114958
16.098634	161868.709947
16.148630	164402.790500
16.198626	169763.890902
16.248621	177369.264260
16.298617	192872.400858
16.348613	215989.607089
16.398609	234407.281250
16.448604	253368.553301
16.498600	260014.587988
16.548596	253163.627799
16.598592	240058.581796
16.648588	224322.371686
16.698583	206613.315671
16.748579	187757.408333
16.798575	178736.713383
16.848571	170164.296875
16.898566	158696.099193
16.948562	148297.747852
16.998558	138020.705338
17.048554	130853.893140
17.098549	131755.281505
17.148545	133106.274910
17.198541	136007.058149
17.248537	145002.997808
17.298532	152208.875661
17.348528	159986.747148
17.398524	173456.725470
17.448520	193771.250623
17.498515	227211.982424
17.548511	278583.377470
17.598507	360714.380699
17.648503	491776.481552
17.698498	635067.894935
17.748494	663962.240745
17.798490	596477.167902
17.848486	526561.514608
17.898481	473903.419954
17.948477	426019.437874
17.998473	378270.342607
18.048469	323418.790504
18.098465	286236.607184
18.148460	274816.497894
18.198456	278254.423242
18.248452	292196.820082
18.298448	316110.557126
18.348443	368338.555133
18.398439	472771.325943
18.448435	596686.918002
18.498431	653041.296011
18.548426	567246.092549
18.598422	457200.472307
18.648418	376835.159003
18.698414	317911.675057
18.748409	271239.018296
18.798405	228520.950906
18.848401	194691.958176
18.898397	164127.378062
18.948392	139899.578504
18.998388	114906.868839
19.048384	103976.806366
19.098380	96963.886764
19.148375	91466.450184
19.198371	86836.106113
19.248367	80526.103549
19.298363	76576.719928
19.348358	76302.157877
19.398354	79701.203565
19.448350	85779.819481
19.498346	86887.785637
19.548342	99716.365543
19.598337	117103.852233
19.648333	141783.354531
19.698329	182447.898858
19.748325	240441.182332
19.798320	316361.272333
19.848316	366011.198766
19.898312	335980.902909
19.948308	273288.445435
19.998303	234003.398223
20.048299	206002.619494
20.098295	186944.198843
20.148291	166701.170021
20.198286	139596.522389
20.248282	110621.430986
20.298278	89489.819902
20.348274	80650.108014
20.398269	79890.499917
20.448265	78728.543944
20.498261	78728.614974
20.548257	80323.476857
20.598252	82931.264681
20.648248	87615.474999
20.698244	87882.667941
20.748240	87141.398389
20.798235	91637.748228
20.848231	96004.188035
20.898227	109087.938025
20.948223	138475.758099
20.998219	187491.067833
21.048214	269752.741598
21.098210	445281.883847
21.148206	742608.438109
21.198202	929322.187736
21.248197	773061.028523
21.298193	642986.289728
21.348189	571347.605072
21.398185	448343.749575
21.448180	341704.919724
21.498176	298391.646045
21.548172	264294.496213
21.598168	265493.097205
21.648163	255152.796671
21.698159	248067.280446
21.748155	270574.940922
21.798151	384982.390016
21.848146	493170.408432
21.898142	552161.071142
21.948138	531881.181900
21.998134	463916.311865
22.048129	406159.666473
22.098125	355835.569779
22.148121	316311.186688
22.198117	279139.604097
22.248112	237402.148212
22.298108	207350.408706
22.348104	166449.752746
22.398100	147458.634285
22.448095	129613.224022
22.498091	128131.427291
22.548087	129181.503390
22.598083	108935.010608
22.648079	114360.596501
22.698074	126297.496910
22.748070	123580.653496
22.798066	118979.912422
22.848062	130273.266659
22.898057	135367.883456
22.948053	141217.605041
22.998049	145236.496312
23.048045	151383.436772
23.098040	157956.836824
23.148036	165962.960346
23.198032	171055.851509
23.248028	178146.275299
23.298023	180312.565851
23.348019	184627.055292
23.398015	181044.766168
23.448011	169230.568609
23.498006	170285.546333
23.548002	173362.220598
23.597998	165061.872456
23.647994	158105.416281
23.697989	160744.645674
23.747985	153697.078354
23.797981	150954.457582
23.847977	148099.351733
23.897972	154761.529347
23.947968	163929.879379
23.997964	186234.521298
24.047960	217328.279413
24.097956	260150.668665
24.147951	292577.331153
24.197947	331421.821331
24.247943	371942.335885
24.297939	407301.971705
24.347934	450323.710049
24.397930	469190.124401
24.447926	470821.320262
24.497922	465112.522022
24.547917	442169.471206
24.597913	399086.670869
24.647909	361159.039099
24.697905	336095.544831
24.747900	338894.420058
24.797896	362163.452939
24.847892	413139.842623
24.897888	480209.882065
24.947883	550579.813914
24.997879	595351.778534
25.047875	595194.295381
25.097871	550095.045208
25.147866	491695.127143
25.197862	430990.846140
25.247858	364905.302403
25.297854	304361.981039
25.347849	246829.561566
25.397845	196206.634523
25.447841	159498.869948
25.497837	138067.387151
25.547833	136590.353740
25.597828	142597.321053
