Freq	Amp
0.000000	0.000000
0.019999	0.300070
0.039998	0.300194
0.059998	0.300259
0.079997	0.300086
0.099996	0.300134
0.119995	0.300292
0.139994	0.300101
0.159994	0.300295
0.179993	0.300197
0.199992	0.300073
0.219991	0.300388
0.239990	0.300282
0.259990	0.300311
0.279989	0.300199
0.299988	0.300223
0.319987	0.300176
0.339986	0.300445
0.359986	0.300219
0.379985	0.300339
0.399984	0.300287
0.419983	0.300497
0.439982	0.300240
0.459982	0.300359
0.479981	0.300485
0.499980	0.300346
0.519979	0.300191
0.539978	0.300399
0.559978	0.300220
0.579977	0.300393
0.599976	0.300433
0.619975	0.300369
0.639974	0.300511
0.659974	0.300319
0.679973	0.300359
0.699972	0.300353
0.719971	0.300548
0.739970	0.300485
0.759970	0.300428
0.779969	0.300664
0.799968	0.300676
0.819967	0.300765
0.839966	0.300761
0.859966	0.300504
0.879965	0.300354
0.899964	0.300575
0.919963	0.300428
0.939962	0.300560
0.959962	0.300549
0.979961	0.300868
0.999960	0.300562
1.019959	0.300769
1.039958	0.300758
1.059958	0.300993
1.079957	0.300785
1.099956	0.300789
1.119955	0.300952
1.139954	0.300979
1.159954	0.301069
1.179953	0.300954
1.199952	0.300968
1.219951	0.301186
1.239950	0.300932
1.259950	0.301281
1.279949	0.300960
1.299948	0.300661
1.319947	0.301301
1.339946	0.300900
1.359946	0.301566
1.379945	0.301317
1.399944	0.301109
1.419943	0.301243
1.439942	0.300775
1.459942	0.301456
1.479941	0.301241
1.499940	0.301918
1.519939	0.300971
1.539938	0.301542
1.559938	0.301635
1.579937	0.301874
1.599936	0.301520
1.619935	0.301352
1.639934	0.301450
1.659934	0.301377
1.679933	0.301362
1.699932	0.301382
1.719931	0.302456
1.739930	0.300943
1.759930	0.301461
1.779929	0.301903
1.799928	0.301675
1.819927	0.302099
1.839926	0.301300
1.859926	0.301285
1.879925	0.301751
1.899924	0.302386
1.919923	0.302311
1.939922	0.301562
1.959922	0.302210
1.979921	0.301843
1.999920	0.302082
2.019919	0.303545
2.039918	0.302305
2.059918	0.301940
2.079917	0.301797
2.099916	0.302903
2.119915	0.302601
2.139914	0.301762
2.159914	0.302389
2.179913	0.302705
2.199912	0.303078
2.219911	0.303180
2.239910	0.303237
2.259910	0.303194
2.279909	0.303298
2.299908	0.302171
2.319907	0.303164
2.339906	0.303050
2.359906	0.302552
2.379905	0.302317
2.399904	0.302287
2.419903	0.303660
2.439902	0.302326
2.459902	0.303338
2.479901	0.303061
2.499900	0.304216
2.519899	0.303392
2.539898	0.303420
2.559898	0.304329
2.579897	0.304104
2.599896	0.303917
2.619895	0.303097
2.639894	0.305698
2.659894	0.304287
2.679893	0.304706
2.699892	0.303540
2.719891	0.305004
2.739890	0.302879
2.759890	0.303374
2.779889	0.303997
2.799888	0.304043
2.819887	0.303956
2.839886	0.303513
2.859886	0.304248
2.879885	0.304382
2.899884	0.305361
2.919883	0.304372
2.939882	0.304127
2.959882	0.304777
2.979881	0.304175
2.999880	0.304419
3.019879	0.304129
3.039878	0.305626
3.059878	0.304926
3.079877	0.305074
3.099876	0.305927
3.119875	0.304519
3.139874	0.305020
